tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies,bechdel_proxy_score,bechdel_proxy_pass,bechdel_proxy_partial,year,decade,genres_list,primary_genre,revenue_clean,budget_clean,has_boxoffice,roi,female_cast_ratio,female_lead_ratio,director_gender_label,language_label,revenue_m,revenue_inr_crore,budget_inr_crore
352173,Drishyam,hi,hi,2015-07-30,4.1204,7.542,490,2,3,1,16,3,4600000,18000000,163,"['Mystery', 'Thriller', 'Drama']","['Panorama Studios', 'Viacom18 Studios']",2.0,False,True,2015,2015,"['Mystery', 'Thriller', 'Drama']",Mystery,18000000.0,4600000.0,True,2.9130434782608696,0.1875,0.6,Male,Hindi,,150.3,38.41
432527,Padmaavat,hi,hi,2018-01-25,3.815,6.9,307,2,1,4,47,4,31000000,81673897,163,"['Drama', 'History', 'Romance']","['Bhansali Productions', 'Viacom18 Studios']",0.0,False,False,2018,2015,"['Drama', 'History', 'Romance']",Drama,81673897.0,31000000.0,True,1.6346418387096775,0.0851063829787234,0.2,Male,Hindi,,681.97703995,258.85
61202,Zindagi Na Milegi Dobara,hi,hi,2011-07-15,3.3564,7.59,409,1,2,3,21,8,7700000,160000000,154,"['Drama', 'Comedy', 'Romance']","['Excel Entertainment', 'Eros International']",3.0,True,True,2011,2010,"['Drama', 'Comedy', 'Romance']",Drama,160000000.0,7700000.0,True,19.77922077922078,0.3809523809523809,0.4,Female,Hindi,,153.0,64.295
585268,War,hi,hi,2019-10-02,3.9649,6.747,378,2,2,3,22,4,24140000,67540000,152,"['Action', 'Thriller', 'Adventure']","['Yash Raj Films', 'Reverie Entertainment']",2.0,False,True,2019,2015,"['Action', 'Thriller', 'Adventure']",Action,67540000.0,24140000.0,True,1.7978458989229495,0.1818181818181818,0.4,Male,Hindi,,563.959,201.569
599925,Shershaah,hi,hi,2021-08-12,3.6259,7.302,121,2,1,4,14,1,0,0,135,"['Action', 'Drama', 'Thriller', 'War']","['Dharma Productions', 'Kaash Entertainment']",0.0,False,False,2021,2020,"['Action', 'Drama', 'Thriller', 'War']",Action,,,False,,0.0714285714285714,0.2,Male,Hindi,,,
664332,Gangubai Kathiawadi,hi,hi,2022-02-24,3.6824,7.463,191,2,3,2,23,7,12000000,25300000,157,"['Crime', 'Drama', 'History']","['Bhansali Productions', 'Pen Studios']",2.0,False,True,2022,2020,"['Crime', 'Drama', 'History']",Crime,25300000.0,12000000.0,True,1.1083333333333334,0.3043478260869565,0.6,Male,Hindi,,211.255,100.2
32740,Krrish,hi,hi,2006-06-23,3.5121,6.502,277,2,2,3,15,6,5000000,16000000,174,"['Action', 'Science Fiction']","['Film Kraft', 'Golden Network Asia', 'Yash Raj Films', 'Adlabs Films']",2.0,False,True,2006,2005,"['Action', 'Science Fiction']",Action,16000000.0,5000000.0,True,2.2,0.4,0.4,Male,Hindi,,133.6,41.75
8079,Om Shanti Om,hi,hi,2007-11-07,3.5609,7.116,398,1,2,3,85,28,9100000,37707444,169,"['Comedy', 'Thriller', 'Drama']","['Red Chillies Entertainment', 'Eros International']",3.0,True,True,2007,2005,"['Comedy', 'Thriller', 'Drama']",Comedy,37707444.0,9100000.0,True,3.1436751648351646,0.3294117647058823,0.4,Female,Hindi,,314.8571574,75.985
17501,Don,hi,hi,2006-10-20,3.5735,6.913,303,2,1,4,25,4,5000000,15000000,178,"['Action', 'Drama', 'Thriller']",['Excel Entertainment'],0.0,False,False,2006,2005,"['Action', 'Drama', 'Thriller']",Action,15000000.0,5000000.0,True,2.0,0.16,0.2,Male,Hindi,,125.25,41.75
496331,Brahmāstra Part One: Shiva,hi,hi,2022-09-08,2.9853,6.321,195,2,2,3,24,7,22000000,0,168,"['Action', 'Adventure', 'Fantasy']","['Dharma Productions', 'Prime Focus', 'Starlight Pictures', 'Star Studios']",2.0,False,True,2022,2020,"['Action', 'Adventure', 'Fantasy']",Action,,22000000.0,False,,0.2916666666666667,0.4,Male,Hindi,,,183.7
596650,Chhichhore,hi,hi,2019-09-05,3.0388,7.678,171,2,1,4,15,1,6825000,29353057,146,"['Romance', 'Comedy', 'Drama']","['Fox Star Studios', 'Nadiadwala Grandson Entertainment']",0.0,False,False,2019,2015,"['Romance', 'Comedy', 'Drama']",Romance,29353057.0,6825000.0,True,3.3008142124542124,0.0666666666666666,0.2,Male,Hindi,,245.09802595,56.98875
592508,Sooryavanshi,hi,hi,2021-11-05,3.4476,5.8,176,2,1,4,33,4,13000000,35000000,145,"['Action', 'Crime', 'Thriller']","['Reliance Entertainment', 'Dharma Productions', 'Rohit Shetty Productionz']",0.0,False,False,2021,2020,"['Action', 'Crime', 'Thriller']",Action,35000000.0,13000000.0,True,1.6923076923076923,0.1212121212121212,0.2,Male,Hindi,,292.25,108.55
611359,Tu Jhoothi Main Makkaar,hi,hi,2023-03-08,3.4879,6.3,217,2,2,2,21,5,0,0,159,"['Comedy', 'Romance', 'Family']","['LUV Films', 'T-Series', 'Identical Pictures']",2.0,False,True,2023,2020,"['Comedy', 'Romance', 'Family']",Comedy,,,False,,0.238095238095238,0.4,Male,Hindi,,,
41517,Ra.One,hi,hi,2011-10-24,3.3158,5.736,377,2,1,3,21,6,24000000,35911689,156,"['Adventure', 'Action', 'Science Fiction']","['Red Chillies Entertainment', 'Eros International', 'Prime Focus']",0.0,False,False,2011,2010,"['Adventure', 'Action', 'Science Fiction']",Adventure,35911689.0,24000000.0,True,0.496320375,0.2857142857142857,0.2,Male,Hindi,,299.86260315,200.4
277432,Happy New Year,hi,hi,2014-10-24,3.3101,6.121,290,1,1,4,32,5,25000000,0,180,"['Action', 'Comedy', 'Crime', 'Adventure']","['Red Chillies Entertainment', 'Yash Raj Films']",0.0,False,False,2014,2010,"['Action', 'Comedy', 'Crime', 'Adventure']",Action,,25000000.0,False,,0.15625,0.2,Female,Hindi,,,208.75
15917,Devdas,hi,hi,2002-07-11,3.0749,7.499,379,2,3,2,21,10,6663555,13311117,185,"['Drama', 'Romance']","['V.I.P. Films', 'Mega Bollywood Private Limited']",2.0,False,True,2002,2000,"['Drama', 'Romance']",Drama,13311117.0,6663555.0,True,0.9975999297672188,0.4761904761904761,0.6,Male,Hindi,,111.14782695,55.64068425
10757,Kabhi Khushi Kabhie Gham,hi,hi,2001-12-14,3.3665,7.663,603,2,2,3,33,11,7500000,11336308,209,"['Comedy', 'Drama']","['Dharma Productions', 'Yash Raj Films', 'British Film Commission', 'K3G Films Limited']",2.0,False,True,2001,2000,"['Comedy', 'Drama']",Comedy,11336308.0,7500000.0,True,0.5115077333333333,0.3333333333333333,0.4,Male,Hindi,,94.6581718,62.625
14163,Chak De! India,hi,hi,2007-08-09,2.9444,7.193,373,2,4,1,26,9,6300000,40000000,148,['Drama'],"['Yash Raj Films', 'Film Victoria']",2.0,False,True,2007,2005,['Drama'],Drama,40000000.0,6300000.0,True,5.349206349206349,0.3461538461538461,0.8,Male,Hindi,,334.0,52.605
79464,Rockstar,hi,hi,2011-11-11,3.0588,7.281,219,2,2,3,11,4,10920000,19660000,159,"['Drama', 'Music', 'Romance']","['Eros International', 'Shree Ashtavinayak Cine Vision']",2.0,False,True,2011,2010,"['Drama', 'Music', 'Romance']",Drama,19660000.0,10920000.0,True,0.8003663003663004,0.3636363636363636,0.4,Male,Hindi,,164.161,91.182
534780,Andhadhun,hi,hi,2018-10-05,3.0762,7.604,620,2,2,3,14,5,4500000,40000000,139,"['Crime', 'Mystery', 'Thriller', 'Comedy']","['Viacom18 Studios', 'Matchbox Pictures']",2.0,False,True,2018,2015,"['Crime', 'Mystery', 'Thriller', 'Comedy']",Crime,40000000.0,4500000.0,True,7.888888888888889,0.3571428571428571,0.4,Male,Hindi,,334.0,37.575
185008,Yeh Jawaani Hai Deewani,hi,hi,2013-05-31,2.9824,7.28,298,2,2,3,16,9,7700000,46000000,160,"['Romance', 'Comedy']","['Dharma Productions', 'UTV Motion Pictures', 'Eros International']",2.0,False,True,2013,2010,"['Romance', 'Comedy']",Romance,46000000.0,7700000.0,True,4.974025974025974,0.5625,0.4,Male,Hindi,,384.1,64.295
14072,Rab Ne Bana Di Jodi,hi,hi,2008-12-11,2.7757,7.116,315,2,1,4,26,9,0,29914469,167,"['Comedy', 'Drama', 'Romance']",['Yash Raj Films'],0.0,False,False,2008,2005,"['Comedy', 'Drama', 'Romance']",Comedy,29914469.0,,True,,0.3461538461538461,0.2,Male,Hindi,,249.78581615,
